product_id,title,price,sale_price,availability,material,color,color_hex,size_text,origin,age_group,pattern,images,status,visibility
test-utf8,"Test Rug UTF8",100,90,in stock,wool,"Beige|Red","#cbb79c|#7a1f2b","170x240","Anatolia",adult,"geometric","https://example.com/1.jpg active",active,public
10002,"Anatolian Rug",329,299,in stock,100% wool,"Beige|Burgundy","#cbb79c|#7a1f2b","170x240 cm","Anatolia",adult,"Traditional, Vintage","https://example.com/a.jpg https://example.com/b.jpg",active,public
test-123,"Smoke Test Rug",123.45,,in stock,,"","","","",,"","https://example.com/i.jpg",active,public
10431,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#9b2a36|#2d2e3d","#9b2a36|#2d2e3d","3' 2'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10161,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#835741|#822a21","#835741|#822a21","6' 4'' X 10' 1''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10114,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#876e5a|#bf9c7b","#876e5a|#bf9c7b","6' 6'' X  9' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10150,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#8a4442|#9b806f","#8a4442|#9b806f","6' 5'' X  9'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10383,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#59181a|#231b1c","#59181a|#231b1c","2' 8'' X  6' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10139,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#806b5c|#4c3e36","#806b5c|#4c3e36","6' 5'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10222,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#b09586|#741e21","#b09586|#741e21","5' 1'' X  7' 3''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10308,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#9a7461|#d6846b","#9a7461|#d6846b","3'10'' X  5' 9''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10201,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#725852|#4c2b30","#725852|#4c2b30","6' 7'' X  9' 4''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10388,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#31302d|#bca592","#31302d|#bca592","2'11'' X  4' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10205,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7c5d46|#ac8967","#7c5d46|#ac8967","6' 5'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10148,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#644a39|#947b5f","#644a39|#947b5f","6' 7'' X  9' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10048,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#796050|#af7b67","#796050|#af7b67","6' 6'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10062,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#92745a|#c1ad8a","#92745a|#c1ad8a","6' 9'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10120,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#745943|#4a2a1d","#745943|#4a2a1d","6' 7'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10212,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a97d6f|#6f594f","#a97d6f|#6f594f","6' 3'' X  9'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10123,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#735b47|#998463","#735b47|#998463","6' 7'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10398,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#745145|#262430","#745145|#262430","2'11'' X  4' 3''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10174,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#817465|#ac9381","#817465|#ac9381","6' 7'' X 10' 2''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
