sku,image,color,origin,size,description,color1,color2,color3,error
10168,https://drive.google.com/uc?export=view&id=1dbwT2tJBTeiL9sISH38EkVP6Alg01Vyb,#ffffff;#523129;#522929,,,Color: #ffffff;#523129;#522929,#ffffff,#523129,#522929,
10169,https://drive.google.com/uc?export=view&id=10kZMc9Yt-ss0Z4CU34XmlkQq5_4Fsjhn,#ffffff;#6b5a4a;#736352,,,Color: #ffffff;#6b5a4a;#736352,#ffffff,#6b5a4a,#736352,
10170,https://drive.google.com/uc?export=view&id=1GtePUv7AHngKq9p5Oj8CytOciTEvaoN6,#846b52;#8c735a;#8c7352,,,Color: #846b52;#8c735a;#8c7352,#846b52,#8c735a,#8c7352,
10171,https://drive.google.com/uc?export=view&id=1lZS5HLhw2M0qfP1Uk4fUbRNJZsrdVol2,#ffffff;#635242;#73634a,,,Color: #ffffff;#635242;#73634a,#ffffff,#635242,#73634a,
10172,https://drive.google.com/uc?export=view&id=1VMj1BGZO_3wYFk6t6nYfIkSRLvY5ZqPC,#ffffff;#b59473;#b59c7b,,,Color: #ffffff;#b59473;#b59c7b,#ffffff,#b59473,#b59c7b,
10173,https://drive.google.com/uc?export=view&id=17NmW98atwzqnNYJXKFCTB5WxoJ1p2pL_,#7b4a3a;#7b4231;#844a3a,,,Color: #7b4a3a;#7b4231;#844a3a,#7b4a3a,#7b4231,#844a3a,
10174,https://drive.google.com/uc?export=view&id=1RwgMG_ehXluV5evEQ3RnthejO1E8p3-n,#ffffff;#948473;#8c7b6b,,,Color: #ffffff;#948473;#8c7b6b,#ffffff,#948473,#8c7b6b,
10175,https://drive.google.com/uc?export=view&id=1VA35q3sQE-r1IVMhI2rfJaxIHTNvHGEv,#7b5a4a;#735242;#846b52,,,Color: #7b5a4a;#735242;#846b52,#7b5a4a,#735242,#846b52,
10176,https://drive.google.com/uc?export=view&id=1sj8hd50Uv7IVg-8WGUw9b8KjrFXSg_Hr,#ffffff;#947352;#8c6b4a,,,Color: #ffffff;#947352;#8c6b4a,#ffffff,#947352,#8c6b4a,
10177,,,,,,,,,no-image
10178,,,,,,,,,no-image
10179,,,,,,,,,no-image
10180,https://drive.google.com/uc?export=view&id=1gZjAZU_oTdmmHGRd1dtBQ7qFv3k77HRt,#ffffff;#846342;#8c6b42,,,Color: #ffffff;#846342;#8c6b42,#ffffff,#846342,#8c6b42,
10181,https://drive.google.com/uc?export=view&id=1GfwqHZIzIKxaefZ399PCoJ63dUbRrRXu,#ffffff;#5a4231;#634a3a,,,Color: #ffffff;#5a4231;#634a3a,#ffffff,#5a4231,#634a3a,
10182,https://drive.google.com/uc?export=view&id=1RBuTZ9Z2vtcvrRtJN9H5Vht_63E5ENsZ,#ffffff;#6b5242;#634a3a,,,Color: #ffffff;#6b5242;#634a3a,#ffffff,#6b5242,#634a3a,
