sku,color1,color2,color3,image,error
10405,#ffffff,#8c634a,#946b52,"https://drive.google.com/uc?export=view&id=1Nd4KniygAzWn3rL5qJ0LEmD63SByj_OM",
10406,#ffffff,#9c7b63,#94735a,"https://drive.google.com/uc?export=view&id=1IISvE52Wqigy7dJ7coO2QoPecuGTVVGH",
10407,#ffffff,#8c634a,#946b52,"https://drive.google.com/uc?export=view&id=1PFuc0npMyCBJVOXstceRVFlSaaTZiBhO",
10408,#ffffff,#ad8c6b,#b59473,"https://drive.google.com/uc?export=view&id=1UjoXu5J8DvzcBOxoHkktJAMtS9QCkllc",
10409,#ffffff,#a57b63,#9c735a,"https://drive.google.com/uc?export=view&id=10ARZMMIbRGz5Mfi6e3YTKkHsXeL0Wv8p",
10410,#ffffff,#ad8c6b,#b59473,"https://drive.google.com/uc?export=view&id=1xWEOKZ_UXlCJfSp88Z-as9Vv-DFXKsEx",
10411,#ffffff,#6b3a3a,#734242,"https://drive.google.com/uc?export=view&id=1HdXF4TgJS3g_CEzgwbCWeU8FArR0K0b_",
10412,#ffffff,#9c846b,#947b63,"https://drive.google.com/uc?export=view&id=1R-rYejknIqDsObZodW0LR_thbP20jvEt",
10413,#ffffff,#8c735a,#7b634a,"https://drive.google.com/uc?export=view&id=1EABoj9KWVzZcE8Etz9UEsCVP7sMKsQ-B",
10416,#ffffff,#735a52,#846b63,"https://drive.google.com/uc?export=view&id=1ziP3uavup_ZImt3zkV0tZTi9UiXnA1Eg",
10417,#ffffff,#8c6352,#946b5a,"https://drive.google.com/uc?export=view&id=1XVI0OhMa2t-RD31KUtQdSZpcRsbSKSXb",
10418,#ffffff,#bd946b,#bd9473,"https://drive.google.com/uc?export=view&id=1b528ZESEqhRu6A6Qfjf5WT4YBcrOuvU1",
10420,#ffffff,#7b6352,#94735a,"https://drive.google.com/uc?export=view&id=1omuDNPK2BkYi5yNgB02MJPYPDBs3E58P",
10421,#ffffff,#6b5242,#735a4a,"https://drive.google.com/uc?export=view&id=1LZXF96xi5PosPp_1tvio-zu11vQboYMu",
10422,#ffffff,#847363,#8c7b6b,"https://drive.google.com/uc?export=view&id=18kekRxLgtOLIfSm-sM_g62ngotk4mpob",
10423,#ffffff,#9c846b,#a58c73,"https://drive.google.com/uc?export=view&id=1JDQnT2a9qMVSJGjLKeS_1GU2jV-dCSAI",
10424,#ffffff,#84634a,#6b4a3a,"https://drive.google.com/uc?export=view&id=1YsRnndyboO3mbtBUwTTDC9HwxEybNFD5",
10425,#ffffff,#947b73,#947b6b,"https://drive.google.com/uc?export=view&id=1KKMQGJ5IyLyQRsR0oSp6Zqib4D1V3giG",
10427,#ffffff,#6b423a,#633a31,"https://drive.google.com/uc?export=view&id=17WvkbskHA1a9p2MFe_8iV-fcSXMSRET9",
10429,#ffffff,#b59c84,#bda584,"https://drive.google.com/uc?export=view&id=1ERJ_CvwOapFXSnV03oHhtmL7qs9xVf4W",
10431,#a5293a,#a52131,#9c2131,"https://drive.google.com/uc?export=view&id=1rM449mBYeuBSmkREGgWWvk5l4hIEq1ft",
10432,#ffffff,#6b4a42,#634a42,"https://drive.google.com/uc?export=view&id=1ncW4JxzbekXJQodz8BNvIbWVGvNRkQJW",
10433,#524a42,#4a423a,#52423a,"https://drive.google.com/uc?export=view&id=10cazz4dwpWWPVH28D8AoKluChEhuMLuC",
10434,#735a52,#5a4a4a,#7b5a52,"https://drive.google.com/uc?export=view&id=1T-M7QJFEyNP8yC3xiN_xIEIo5NRg7TRn",
10436,#efefef,#e6e6e6,#ffffff,"https://drive.google.com/uc?export=view&id=1dnF46HTiRBCSHAYqwDF7cvN-XqurLsJg",
10437,#736352,#524a42,#5a4a42,"https://drive.google.com/uc?export=view&id=1qoFoda0LHIfVSMfwB6sWtGWPZSY9T4_U",
10438,#947b6b,#8c736b,#846b63,"https://drive.google.com/uc?export=view&id=150T_qkaN8EUahYRIO8Rf7lfHneBAnmBn",
10441,#8c3a31,#73635a,#7b635a,"https://drive.google.com/uc?export=view&id=1pNldF98nm2yGAy2BSPTQpw-9QYVZQRMP",
10442,#8c1919,#942121,#735a4a,"https://drive.google.com/uc?export=view&id=1uLodhgEaWmDKbxl9pCRZZ0P14-pJN4qK",
10451,#ffffff,#9c7b4a,#947342,"https://drive.google.com/uc?export=view&id=1AWkyDlEJ3Ky__YyqEIhQPRTXKatnc3-_",
10472,#ffffff,#ceb58c,#d6bd94,"https://drive.google.com/uc?export=view&id=10JbchorkJgreGnhGy5KPkDFM8yRBOxHk",
11601,#ffffff,#8c635a,#946b63,"https://drive.google.com/uc?export=view&id=17PC2AMcJlwmMXnX4pt2tqU-_CJWfQ9Os",
13017,#ffffff,#8c634a,#845a42,"https://drive.google.com/uc?export=view&id=1FINwGwAqsXirFMw12SLTel5XUH6V1VbV",
13101,#000000,#7b7b73,#6b5a52,"https://drive.google.com/uc?export=view&id=1mxsnk1aJK2CgjKGSO9J_6I-wWfwnvt6P",
13293,#000000,#6b4a3a,#735242,"https://drive.google.com/uc?export=view&id=1Ru0RoE0RMEHvMnlltlnQVcWgUXHMUSO9",
13296,#735a4a,#846b52,#7b6352,"https://drive.google.com/uc?export=view&id=1OHQxrvVycaV4WmiosFINntCzlutDvD69",
13297,#b59c84,#bda58c,#ad947b,"https://drive.google.com/uc?export=view&id=1QZEb6JA8e-WDxEJeeeCCAU6oXiXiYFZl",
13758,#ffffff,#736b6b,#737373,"https://drive.google.com/uc?export=view&id=1TysaNiEVFRbWo4esSuvL5Zp2Zhvfl6WD",
13759,#ffffff,#f7f7f7,#efefef,"https://drive.google.com/uc?export=view&id=1D8p0zUVJ2-avDZ7qzZ3dBuua6WZs_4sY",
14360,#732129,#634a3a,#6b5242,"https://drive.google.com/uc?export=view&id=1RDXb6pXGEsIoD6mX-mZtyuIFY2mKP-wT",
14440,#000000,#634a3a,#6b5242,"https://drive.google.com/uc?export=view&id=1PM01AlaT8RAJ1h85WpS5N1_F1u3de8UH",
14442,#ffffff,#846b52,#8c735a,"https://drive.google.com/uc?export=view&id=1qQu48dm0ohojjCwmDN9B2pV0UbC5oUV1",
14443,#a58c73,#a5846b,#ad947b,"https://drive.google.com/uc?export=view&id=1mD4klz-sQJnOh2B50bj0phorGCvUJj7Q",
14479,#ffffff,#8c7363,#8c735a,"https://drive.google.com/uc?export=view&id=1HRqVhLDgVT33tTzSFywZ-KH56Zc80on9",
14890,#ffffff,#b5947b,#ad8c73,"https://drive.google.com/uc?export=view&id=1tFOY4BaNjMmFJdGXD5_KrxbQUp-tWplM",
15077,#ffffff,#6b5a52,#73635a,"https://drive.google.com/uc?export=view&id=1c5UbxLrW3hC_1UsQreRGYZM34qRl15MA",
15081,#ada59c,#a59c94,#94847b,"https://drive.google.com/uc?export=view&id=1Seki_M8qXLZwVv5xO8vKLZM-A5l8PCaY",
15101,#ffffff,#846b5a,#8c7363,"https://drive.google.com/uc?export=view&id=15H_1JtGY1I9Whwz04f7W9IN9gSBFpPWR",
15114,#ffffff,#52423a,#6b5a52,"https://drive.google.com/uc?export=view&id=1fy_5LvaZJ_-QdKFNDBxub1raM4sD5aus",
15191,#ffffff,#5a3131,#735a4a,"https://drive.google.com/uc?export=view&id=1BqmL2jJ7QKH1o2bZsT8Z20_TnQdtV3X8",
15198,#ffffff,#735a52,#846b63,"https://drive.google.com/uc?export=view&id=1KfSufRvpObKkwfpTTm6jwE2RTFQIuS_7",
15237,#735a4a,#6b5242,#846b52,"https://drive.google.com/uc?export=view&id=1oINUF5gR8SNZJQNUhfYBjVDBrCR5SrD-",
15356,#ffffff,#9c8c84,#c5c5bd,"https://drive.google.com/uc?export=view&id=1RbOEyxdVxKhcPvMWvSLK_L-5LGW8g6BE",
